,Номер паспорта,Фамилия,Имя,Отчество,Дата рождения,Пол,Год получения прав,КП во время учёбы,Количество попыток сдачи эказмена,Название автошколы,Код региона получения прав
27,2031359742,Кононов,Ульян,Давидович,1966-01-15,М,1994,А,1,Автомиг,10
28,3069220353,Белозеров,Изяслав,Эдгарович,1952-06-08,М,1981,M,4,Зеленая миля,70
29,8494697418,Матвеева,Нина,Львовна,1972-05-23,Ж,1992,А,1,Близкое расстояние,16
30,1698159473,Матвеева,Маргарита,Тарасовна,1967-03-25,Ж,2011,А,3,Восход,6
31,5763759657,Жуков,Аскольд,Устинович,1954-07-06,М,1985,А,3,Фортуна,18
32,0464821733,Турова,Любовь,Матвеевна,1964-07-07,Ж,2006,M,3,Луч,27
33,4869122977,Киселев,Эрнст,Вилорович,1952-12-11,М,2020,M,4,Легион,77
34,1437871411,Зиновьева,Варвара,Семеновна,1998-08-23,Ж,2019,M,4,Балтик-Стар,89
35,3208741671,Мартынова,Лариса,Федоровна,1963-12-05,Ж,2011,M,2,Кристалл,4
36,3430184888,Федорова,Анастасия,Дмитриевна,2002-02-17,Ж,2020,M,1,Водитель,8
37,1800562710,Якушев,Аверкий,Гертрудович,1972-12-27,М,2004,А,3,Мастер-класс,11
38,5486298343,Кудряшова,Дарья,Тарасовна,1954-05-08,Ж,1981,M,1,Дебют,6
39,8843057014,Исаков,Владлен,Ильясович,1951-08-24,М,1986,А,5,Эксперт,24
40,2093447990,Шашкова,Варвара,Ефимовна,1960-05-11,Ж,2018,А,2,Автофил,30
41,4571146815,Белозеров,Мокей,Валерианович,1961-08-04,М,2009,M,5,Трасса,53
42,2975911886,Семенова,Кира,Святославовна,2000-10-07,Ж,2019,А,1,Ермак,68
43,7391482101,Меркушева,Тамара,Леоновна,1966-04-14,Ж,2003,M,4,Первоклассная,87
44,3652018238,Назарова,Акулина,Даниловна,1984-10-05,Ж,2010,M,1,В движении,16
45,9743553998,Дементьева,Нонна,Кирилловна,1958-01-31,Ж,1979,А,2,Штурман,56
46,3877010907,Носков,Автоном,Власович,1968-03-04,М,2017,А,3,Фортуна,51
47,3339287149,Попов,Лонгин,Гаврилович,1957-10-06,М,1991,А,2,Фортуна,37
48,4269031634,Хохлова,Глафира,Павловна,2000-09-05,Ж,2018,А,5,Кристалл,64
49,9616418932,Фомичев,Милий,Георгиевич,1965-07-13,М,1989,M,1,Жигули,17
50,2001486936,Беляев,Ефрем,Григорьевич,1964-03-22,М,1996,M,4,Садовое Кольцо,5
51,3990894414,Дорофеева,Валерия,Антоновна,1956-01-13,Ж,2015,M,5,Дорожная Азбука,57
52,6639725824,Егорова,Мария,Викторовна,1982-12-26,Ж,2004,А,3,Курсант,2
53,3834353183,Кулаков,Вениамин,Яковлевич,1950-10-27,М,1989,M,1,Дакар,32
54,0718247828,Федотова,Виктория,Рубеновна,1986-08-23,Ж,2009,А,5,Мак-Авто,28
55,0456311991,Быков,Георгий,Аверьянович,1951-08-24,М,2001,M,1,Автопилот,70
56,7588175031,Воронов,Станимир,Филатович,1978-07-02,М,2021,А,3,Аверс,68
57,8398773808,Кулаков,Василий,Антипович,1999-01-19,М,2017,M,5,Автомобилист,53
58,4725571300,Колобов,Иннокентий,Валерианович,1955-06-10,М,1998,А,1,Хочу рулить,27
59,9468265099,Дементьев,Тит,Игоревич,1989-01-30,М,2019,M,1,Шоссе,19
60,8395224808,Крылов,Эммануил,Демидович,1999-05-18,М,2019,M,3,Автомаг,17
61,2293054209,Иванов,Станимир,Феофанович,1976-03-04,М,2013,А,3,Супер-автошкола,24
62,4991817549,Гущина,Фаина,Болеславовна,1971-01-25,Ж,2005,M,4,Звездный мост,27
63,2848196011,Богданов,Герман,Изотович,1977-01-23,М,2014,M,3,Восток-ралли,24
64,8496426467,Назарова,Оксана,Степановна,1995-02-27,Ж,2018,А,1,Максима,75
65,2404733298,Родионов,Флорентин,Анатольевич,1993-02-27,М,2021,А,3,Пилот,10
66,4260334900,Логинова,Валентина,Сергеевна,1981-04-30,Ж,2007,А,4,Навигатор,78
67,5187643550,Ефимова,Наталья,Кирилловна,1981-07-29,Ж,2001,А,4,Клаксон,32
68,3643702407,Беспалова,Кира,Юльевна,1966-05-09,Ж,2020,А,4,Восток-ралли,9
69,7382029024,Фомин,Кузьма,Харитонович,1988-04-10,М,2014,M,5,Топаз,77
70,0154851922,Беляева,Ия,Егоровна,1985-07-30,Ж,2013,А,2,Автолидер,69
71,2208759759,Дмитриев,Марк,Даниилович,1956-01-09,М,2006,M,3,Мотор,5
72,3750214138,Новикова,Ульяна,Антоновна,1998-05-04,Ж,2018,M,3,А-Класс,42
73,5627106281,Максимова,Варвара,Аскольдовна,1991-08-17,Ж,2014,А,5,Автогалактика,86
74,5342354493,Ершов,Гостомысл,Елисеевич,1984-05-13,М,2013,А,1,Автопилот,75
75,6184111026,Давыдов,Кир,Фомич,1968-01-28,М,1992,M,1,Автомиг,91
76,3130559244,Орлова,Регина,Филипповна,1969-11-26,Ж,2009,А,5,Орлан,65
77,7985827639,Шарапов,Ипполит,Зиновьевич,1956-09-25,М,1974,M,2,Приоритет,52
78,1203428870,Прохоров,Панкрат,Анатольевич,1994-03-19,М,2015,M,5,Восток,6
79,4141965376,Шарапов,Остап,Богданович,1974-08-21,М,2012,А,4,АвтоАс,7
80,1209758353,Игнатов,Михей,Анатольевич,1995-01-11,М,2020,А,1,Формула скорости,24
81,4347556666,Сазонов,Арсений,Афанасьевич,1966-10-23,М,1999,А,1,Легион,39
82,3902135742,Соколов,Прокофий,Тарасович,1999-01-15,М,2020,А,3,Азбука вождения,35
83,8867509650,Беспалова,Кира,Егоровна,1955-08-22,Ж,2003,А,2,Профессионал,54
84,6379276863,Никифоров,Харитон,Владленович,1996-07-15,М,2015,А,5,Элит,29
85,3944263620,Власова,Милица,Яковлевна,1951-01-24,Ж,2016,А,5,Ягуар,74
86,1755791671,Селиверстова,Оксана,Анатольевна,1952-08-17,Ж,2020,А,4,Победа,35
87,8111508581,Колобова,Ульяна,Рубеновна,2000-12-19,Ж,2019,А,1,Топаз,75
88,9786709912,Степанов,Евгений,Иларионович,1950-11-26,М,1999,А,4,Мастер-класс,36
89,7939516660,Кулагина,Алла,Геннадьевна,1966-01-08,Ж,1989,M,3,Дело,40
90,0092153575,Кошелева,Анжела,Харитоновна,1993-06-03,Ж,2019,А,4,Автостиль,27
91,5461608555,Ковалева,Наина,Кузьминична,1969-05-26,Ж,1995,M,2,Гарант,86
92,6780122980,Герасимов,Аполлон,Изотович,1991-10-23,М,2019,M,1,Старт,2
93,2611267501,Хохлова,Олимпиада,Максимовна,1974-07-10,Ж,2003,M,5,Автобан,25
94,6789170733,Петрова,Олимпиада,Борисовна,1997-06-19,Ж,2019,А,3,Умный водитель,26
95,2372406267,Волкова,Агата,Кузьминична,1983-08-14,Ж,2020,А,1,Шанс,53
96,9719759488,Николаева,Антонина,Константиновна,1971-07-11,Ж,1998,А,2,Штурман,19
97,8090558376,Щербакова,Эмилия,Кузьминична,1977-10-25,Ж,2008,M,1,Виртуоз,4
98,2069716978,Самсонова,Глафира,Степановна,1956-03-17,Ж,2005,M,3,Антей,65
99,0197446518,Филиппова,Ираида,Евгеньевна,1981-08-21,Ж,2017,А,4,Перекресток,41
100,8050879554,Никифоров,Рюрик,Федотович,1988-11-13,М,2020,M,4,Автоновичок,79
101,3644396302,Корнилов,Авдей,Виленович,1993-08-24,М,2016,M,1,Авто-Лада,24
102,9532174509,Белозерова,Олимпиада,Владимировна,1997-02-07,Ж,2015,M,5,Автоград,16
103,6491579809,Ершова,Галина,Феликсовна,1950-10-29,Ж,1998,M,5,Формула скорости,20
104,3024377413,Исакова,Марина,Станиславовна,1951-04-24,Ж,1996,А,5,Физика вождения,50
105,5156699404,Константинов,Афиноген,Матвеевич,1952-12-16,М,1987,А,5,Мотор,78
106,2992383515,Зыкова,Зинаида,Львовна,1972-08-14,Ж,1995,А,2,Новая Автошкола,23
107,5888223766,Муравьева,Варвара,Даниловна,1985-06-05,Ж,2010,А,2,Виртуоз,99
108,3607332881,Никонов,Фирс,Ерофеевич,1979-02-17,М,1999,M,2,Топаз,59
109,6078246161,Агафонова,Ульяна,Даниловна,1971-05-29,Ж,2020,M,3,Эксперт,6
110,0364678210,Шубина,Юлия,Вячеславовна,1996-10-07,Ж,2018,А,4,Вираж,32
111,4031190630,Савин,Терентий,Витальевич,1998-02-03,М,2020,M,1,Вулкан,11
112,0223644002,Ильин,Иларион,Гертрудович,1961-02-15,М,1994,А,2,Шумахер,71
113,0054133451,Капустин,Виссарион,Антипович,1961-02-21,М,1987,M,1,Три педали,1
114,5192132013,Хохлов,Адриан,Артурович,1976-10-27,М,2009,M,5,Автопилот,65
115,8614322875,Белякова,Анжела,Артемовна,1982-02-19,Ж,2018,M,4,Автомаг,19
116,0262788520,Ларионова,Антонина,Артемовна,1964-07-19,Ж,2002,А,1,Ротор,65
117,3054293867,Осипова,Анна,Львовна,1980-11-27,Ж,2004,M,2,Лидер,49
118,3701605096,Устинов,Антип,Теймуразович,1968-11-09,М,2013,А,2,Автодрайвер,15
119,6970176817,Мишин,Иларион,Юлианович,2001-10-15,М,2021,А,1,В движении,73
120,5017866385,Агафонова,Ольга,Мироновна,1996-09-02,Ж,2014,M,3,Автоправо,45
121,2292839757,Кошелева,Александра,Альбертовна,1999-08-13,Ж,2021,А,1,Зеленая волна,66
122,6400773053,Сысоева,Лукия,Харитоновна,1991-09-23,Ж,2017,M,2,Вулкан,15
123,0284861052,Гущина,Иванна,Максимовна,1955-09-27,Ж,1981,M,3,Орлан,9
124,5779914847,Егоров,Зосима,Венедиктович,2002-05-28,М,2021,M,5,Альфа,55
125,0219369696,Шарова,Ольга,Николаевна,1969-01-22,Ж,2016,M,2,Универсал,27
126,6616533414,Суханова,Эмилия,Юрьевна,1968-09-20,Ж,2020,А,2,Молодость,38
127,4138935854,Стрелков,Савватий,Харитонович,1963-02-11,М,1987,M,2,Бумер,36
128,5849907727,Устинов,Агап,Андреевич,1963-02-13,М,2016,M,1,За рулем,9
129,5423690234,Гурьев,Самсон,Изотович,1974-09-12,М,2018,M,5,Профи,22
130,3947376783,Волков,Самуил,Терентьевич,1964-01-09,М,1997,А,2,Дилижанс,99
131,2918657650,Чернов,Аристарх,Владленович,1964-08-15,М,1999,А,2,Прайм-Авто,47
132,9401862029,Белозеров,Владлен,Захарьевич,1954-10-12,М,1994,А,5,Хочу рулить,34
133,1334969385,Соколов,Давыд,Яковлевич,1988-10-13,М,2012,M,1,Зебра,47
134,4599729535,Маслов,Болеслав,Зиновьевич,1998-11-08,М,2016,M,4,Жигули,36
135,9728410147,Игнатов,Константин,Ярославович,1975-04-06,М,1997,M,3,Чемпион,72
136,1464278269,Кабанов,Лавр,Дорофеевич,1965-10-17,М,2007,M,2,Главная дорога,83
137,7484167517,Ковалев,Изяслав,Владиленович,1998-06-22,М,2020,А,1,Приоритет,73
138,2199743825,Фролов,Давыд,Димитриевич,2000-06-08,М,2021,А,2,Автопилот,87
139,0659658727,Шаров,Всеслав,Даниилович,1993-05-07,М,2012,А,4,"Эх, научу!",36
140,1915716613,Кононова,Любовь,Кирилловна,1953-02-14,Ж,1981,А,5,Восток-ралли,17
141,6591614054,Зиновьева,Тамара,Болеславовна,1952-05-26,Ж,1971,А,5,Евродрайв,23
142,4403876593,Афанасьев,Викентий,Теймуразович,1959-03-28,М,2001,А,4,Автоотличник,78
143,1458021710,Потапов,Антонин,Бенедиктович,2000-02-22,М,2021,А,4,Академия вождения,49
144,3278911762,Лукин,Никодим,Жоресович,1981-12-24,М,2005,M,4,Малина,20
145,3129423033,Денисова,Наина,Вячеславовна,1977-02-16,Ж,2007,А,4,Бэст,72
146,6603128956,Богданова,Тамара,Анатольевна,1973-05-31,Ж,2016,А,5,Стрела,78
147,1475668811,Дорофеев,Тимофей,Виленович,1960-11-02,М,1987,А,5,Город,69
148,0232043157,Агафонова,Маргарита,Юльевна,1991-04-22,Ж,2021,M,5,Дилижанс,59
149,1171018649,Лыткина,Алевтина,Яковлевна,1985-01-11,Ж,2017,M,2,Хочу рулить,35
150,4501246763,Киселева,Клавдия,Афанасьевна,1982-04-23,Ж,2005,А,3,Сириус,60
151,0509720248,Исаков,Ермолай,Августович,1970-07-19,М,2001,M,4,Зеленая волна,72
152,2078544961,Шилова,Нина,Вениаминовна,1973-12-21,Ж,2021,А,5,Молодость,21
153,0566438080,Виноградов,Харитон,Изотович,1989-06-18,М,2016,M,2,Дело,75
154,6742515922,Мясникова,Надежда,Рубеновна,1985-02-25,Ж,2014,А,5,Физика вождения,55
155,6527328854,Дмитриев,Владимир,Филимонович,1959-08-25,М,1977,M,1,Прайм-Авто,32
156,1950349300,Шарова,Евпраксия,Харитоновна,1985-03-27,Ж,2016,M,5,Автопилот,69
157,4099110740,Колесников,Гремислав,Августович,1969-11-07,М,1991,А,5,Продвинутый водитель,62
158,0582755044,Дмитриев,Остап,Жанович,1965-09-14,М,1986,А,4,Восток,57
159,8895386480,Хохлова,Василиса,Михайловна,1974-09-21,Ж,2011,А,3,Маршрут,69
160,1093665789,Шарапова,Валерия,Ильинична,1989-01-23,Ж,2008,А,4,Дакар,34
161,3839245138,Игнатьев,Софон,Феофанович,1960-10-18,М,2002,А,3,Норд-Вест,51
162,1827059064,Дьячков,Зиновий,Ярославович,1990-07-03,М,2009,M,4,Тутти плюс,87
163,8217511131,Мельников,Никандр,Ефремович,1987-01-10,М,2013,M,2,Автофил,56
164,6916583907,Брагин,Парфен,Викторович,1989-12-14,М,2019,M,3,Автолайн,60
165,8039713692,Панов,Наркис,Денисович,1957-02-28,М,2000,А,4,Локомотив,60
166,1411702097,Баранова,Майя,Семеновна,1970-08-22,Ж,1990,M,2,Кристалл,60
167,3792202964,Мишина,Евфросиния,Аскольдовна,1955-04-24,Ж,1982,А,2,Чемпион,46
168,3316337004,Третьякова,Евгения,Егоровна,1981-01-30,Ж,2020,А,1,Ягуар,10
169,0368266725,Некрасов,Парфен,Феодосьевич,1993-05-12,М,2011,M,4,Вулкан,1
170,8606236350,Савельев,Карп,Данилович,1989-01-01,М,2012,А,1,Локомотив,73
171,5033036495,Рыбакова,Ксения,Аркадьевна,1958-11-19,Ж,1990,А,4,Арго,65
172,9695503745,Большакова,Марфа,Григорьевна,1960-07-28,Ж,1988,M,5,Топаз,8
173,4131027502,Миронова,Ольга,Кузьминична,2000-05-04,Ж,2020,А,2,Элит,55
174,2447051265,Дмитриева,Акулина,Игоревна,1975-06-21,Ж,1996,M,1,Практика,79
175,3387490783,Щукина,Наталья,Валериевна,1982-09-24,Ж,2003,M,1,Коррэктъ,18
176,0140004779,Кулакова,Жанна,Юльевна,1993-09-23,Ж,2016,А,4,Бэст,12
177,5247755254,Алексеев,Зиновий,Бенедиктович,2002-05-24,М,2020,M,3,Курсор,66
178,1927952020,Зимина,Евпраксия,Филипповна,1953-10-28,Ж,1973,M,4,Курсор,78
179,9694297657,Киселева,Наталья,Юльевна,2001-12-17,Ж,2021,M,2,Эксперт,4
180,9573210548,Бирюков,Соломон,Елизарович,1987-04-22,М,2020,А,1,Маневр,5
181,1874688785,Логинова,Надежда,Андреевна,1979-04-05,Ж,2015,А,1,Азбука дорог,64
182,6192347990,Агафонова,Марфа,Ильинична,1981-09-29,Ж,2017,M,5,Фортуна,69
183,2729464310,Морозова,София,Леонидовна,1955-03-05,Ж,1983,M,5,Клаксон,29
184,9748508126,Тимофеева,Ольга,Владиславовна,1983-04-19,Ж,2017,А,3,Движение,69
185,4141807843,Некрасов,Куприян,Иларионович,1978-04-12,М,2019,M,4,Хайвэй,43
186,3674466831,Самойлова,Зинаида,Матвеевна,2003-03-15,Ж,2021,M,4,За рулем,71
187,2012905293,Фролова,Феврония,Никифоровна,1963-03-31,Ж,1986,M,3,Тутти плюс,76
188,0811588482,Романов,Всеслав,Авдеевич,1957-05-12,М,2003,А,3,Авто-Лига,53
189,3334132345,Лихачева,Ксения,Никифоровна,1974-11-25,Ж,1994,А,5,Автоправо,26
190,9629342644,Куликова,Полина,Юрьевна,1970-07-20,Ж,1996,M,5,Дорожная Азбука,17
191,8025090015,Терентьева,Лукия,Семеновна,1954-09-05,Ж,2019,А,1,Продвинутый водитель,14
192,2639767406,Пестов,Ульян,Ерофеевич,1964-04-10,М,1994,M,4,Чемпион,34
193,1467664643,Маслова,Алла,Ефимовна,1968-05-15,Ж,2001,А,1,Водитель,31
194,4679652509,Ефимова,Нина,Святославовна,1956-05-25,Ж,2004,А,4,Виртуоз,83
195,0778486956,Большакова,Александра,Альбертовна,1988-12-26,Ж,2012,А,4,Автоотличник,92
196,5716964468,Тарасова,Фаина,Феликсовна,1971-03-19,Ж,2009,M,5,Зебра,9
197,3640374511,Щукин,Автоном,Андреевич,1959-03-15,М,1980,А,5,Хочу рулить,13
198,5888320717,Корнилова,Фёкла,Святославовна,1959-05-12,Ж,1997,M,2,Болид,58
199,5846875274,Власова,Октябрина,Рубеновна,1962-12-19,Ж,2011,А,4,Дело,72
200,0965154095,Захарова,Нинель,Юрьевна,1990-05-03,Ж,2020,M,4,Гарант,21
201,9268812682,Власова,Алевтина,Рудольфовна,1998-06-27,Ж,2021,А,5,Авто-Импульс,23
202,0454686842,Евдокимова,Любовь,Эльдаровна,1995-03-01,Ж,2021,А,5,Перекресток,64
203,0308296450,Силина,Ксения,Тимуровна,1983-04-01,Ж,2018,А,4,Меркурий,27
204,2373904970,Тарасов,Ипатий,Захарьевич,1969-10-17,М,1997,А,3,Эстакада,20
205,7080015870,Якушев,Зиновий,Владиленович,1961-11-14,М,1998,M,1,Клаксон,1
206,0739010240,Вишнякова,Клавдия,Руслановна,1988-11-18,Ж,2012,M,3,АвтоАс,50
207,8323018343,Буров,Евстафий,Теймуразович,1983-06-20,М,2011,А,5,Дюк,69
208,9427142702,Савин,Ярослав,Артемьевич,1959-08-06,М,2004,M,4,Клаксон,4
209,3331568775,Суворова,Ирина,Валентиновна,1963-07-12,Ж,2015,M,4,Вулкан,28
210,4695307994,Кулагина,Зоя,Семеновна,1966-08-01,Ж,2019,M,1,Гарант,75
211,8130106921,Лихачева,Жанна,Афанасьевна,1985-10-02,Ж,2016,А,1,Малина,70
212,2670723170,Ефимов,Тит,Ануфриевич,1999-11-04,М,2019,А,5,Автобан,89
213,0117596003,Яковлев,Спиридон,Александрович,1972-11-25,М,2007,M,3,Чемпион,15
214,8336044418,Бобров,Никанор,Гаврилович,1976-01-12,М,2012,А,3,Автомаг,6
215,6314369714,Симонова,Мария,Михайловна,1999-06-27,Ж,2021,M,1,Мак-Авто,52
216,7825738130,Дорофеева,Раиса,Романовна,1993-11-11,Ж,2017,А,2,Конкорд,21
217,3005813721,Громова,Ирина,Сергеевна,2001-09-16,Ж,2019,А,1,Юность,76
218,8067523894,Ильин,Исидор,Жанович,1980-05-03,М,2012,M,4,Продвинутый водитель,8
219,4976284350,Медведев,Афанасий,Викторович,2001-09-10,М,2020,M,4,В движении,79
220,3745429972,Котов,Елизар,Всеволодович,1955-04-11,М,2002,M,3,Альтернатива,59
221,0273422543,Крюков,Леон,Ефстафьевич,1992-05-22,М,2013,А,4,Автоэлита,68
222,0719150702,Селезнев,Чеслав,Федотович,1951-03-24,М,1980,M,5,Крутой поворот,44
223,8688753177,Зиновьева,Нинель,Вадимовна,1990-08-25,Ж,2020,M,3,Вектор,28
224,3608352662,Фадеев,Осип,Германович,1962-08-26,М,1998,M,2,Дакар,38
225,1376471239,Комарова,Глафира,Константиновна,1971-12-31,Ж,2010,M,2,Первоклассная,68
226,0743754351,Сысоев,Мир,Харлампович,1977-05-23,М,2002,А,2,Азбука вождения,5
227,9014379343,Галкин,Кондратий,Бенедиктович,1990-07-26,М,2016,А,3,Штурман,15
228,5674193960,Титова,Анжелика,Натановна,1982-07-14,Ж,2014,А,4,Альтернатива,6
229,8670370721,Устинова,Нонна,Ефимовна,1952-11-04,Ж,2012,А,3,Легион,55
230,6760346715,Воронцова,Антонина,Альбертовна,2001-04-08,Ж,2019,M,3,"Эх, научу!",20
231,8384061003,Киселева,Акулина,Михайловна,1989-12-22,Ж,2020,А,2,"Эх, научу!",56
232,7754229228,Комиссаров,Валентин,Тарасович,1957-10-19,М,1996,А,3,Восток-ралли,6
233,4465089410,Авдеева,Анастасия,Рудольфовна,1957-09-28,Ж,1985,M,3,Филин,3
234,0321382654,Лукина,Элеонора,Валериевна,1957-10-01,Ж,1987,M,1,Антей,32
235,1777347343,Комиссарова,Регина,Святославовна,1993-11-08,Ж,2016,M,5,Новые горизонты,92
236,6807782528,Комарова,Евфросиния,Егоровна,1979-03-04,Ж,1997,А,2,Автофакультет,32
237,3679741181,Михайлов,Демид,Венедиктович,1953-05-09,М,1993,M,3,Навигатор,20
238,2398401249,Меркушев,Кир,Федосьевич,1967-03-18,М,1986,А,4,Бумеранг,4
239,8365989158,Логинов,Никита,Бориславович,1969-06-30,М,2017,M,4,Мастер-класс,73
240,1283185378,Трофимова,Татьяна,Даниловна,1977-07-10,Ж,2014,M,1,Антей,29
241,3620161167,Коновалов,Софрон,Ильич,1969-12-20,М,1995,M,3,Победа,62
242,0759121151,Ефремова,Елена,Борисовна,1962-05-02,Ж,2014,M,5,Супер-автошкола,13
243,6952213265,Петухова,Иванна,Болеславовна,1993-12-19,Ж,2018,А,3,Автостиль,71
244,3617483633,Федотов,Евлампий,Дмитриевич,1992-04-03,М,2011,M,2,За рулем,46
245,3851149166,Баранов,Якуб,Эдуардович,1992-03-16,М,2018,А,2,Перспектива,24
246,9347016529,Савина,Тамара,Рудольфовна,1978-11-09,Ж,2006,M,1,Восток,83
247,4853723612,Виноградов,Трофим,Эдгарович,1956-11-05,М,2018,А,5,Приоритет,17
248,0517778599,Кузьмин,Сигизмунд,Жоресович,1981-05-13,М,2012,M,3,Вулкан,37
249,7609103789,Носкова,Надежда,Петровна,1952-09-06,Ж,1977,А,2,Автофактор,48
250,3880483708,Казакова,Надежда,Харитоновна,1975-07-14,Ж,2015,А,5,АвтоАкадемия,78
251,6764092582,Калинина,Евгения,Ефимовна,1986-10-14,Ж,2007,А,2,Три педали,4
252,0294216030,Стрелков,Ипат,Витальевич,1964-03-26,М,2004,А,1,Главная дорога,86
253,1499628119,Комиссарова,Акулина,Константиновна,1989-02-11,Ж,2016,А,4,Тутти плюс,37
254,4573195563,Воронова,Дарья,Федоровна,1955-06-27,Ж,1997,M,2,Автопилот,11
255,0349584290,Семенов,Кондрат,Матвеевич,1993-12-20,М,2012,А,2,Импульс,1
256,0417280494,Капустин,Ульян,Марсович,1964-01-30,М,2010,А,4,Форсаж,14
257,2632037627,Зыков,Евграф,Артурович,1966-12-23,М,1999,А,3,Автокласс,28
258,7497358226,Шестакова,Синклитикия,Кузьминична,2000-06-17,Ж,2020,M,1,Автоград,54
259,4169896191,Носков,Максим,Харитонович,1978-06-08,М,2006,M,2,Дюк,66
260,7385527251,Гурьева,Вера,Сергеевна,1950-10-10,Ж,1970,А,3,Клаксон,40
261,1164049188,Федорова,Василиса,Оскаровна,1965-03-31,Ж,2001,M,1,Маневр,2
262,0154535579,Гаврилов,Мирон,Афанасьевич,1970-12-04,М,2015,M,3,Золотой руль,65
263,9347090872,Коновалова,Елизавета,Константиновна,1961-02-07,Ж,2019,А,3,Аверс,83
264,0923098684,Николаев,Эраст,Владиславович,1998-07-26,М,2016,А,3,Драйв,91
265,2515051922,Орехов,Герман,Елисеевич,1966-02-10,М,2001,А,4,Коррэктъ,29
266,7992427970,Крюков,Осип,Харитонович,1954-04-28,М,1975,M,2,Драйв,26
267,1893991689,Кононов,Никита,Тихонович,1963-11-27,М,2014,А,3,Автомиг,69
268,5067482822,Богданова,Нонна,Вениаминовна,1987-05-08,Ж,2007,M,4,Пора за руль,68
269,5899026622,Стрелкова,Ангелина,Максимовна,1956-09-04,Ж,2010,M,5,Стажер,25
270,2651253140,Мартынов,Аркадий,Виленович,1965-01-04,М,2006,M,2,Малина,49
271,1826927462,Беляева,Надежда,Александровна,1952-12-27,Ж,1977,M,1,Штурман,14
272,6409022989,Павлова,Лариса,Филипповна,1961-10-13,Ж,1983,M,4,Автоэлита,34
273,4063787187,Мамонтов,Константин,Георгиевич,2001-04-25,М,2019,А,5,Альфа,32
274,7405976995,Самсонова,Евгения,Александровна,1991-11-06,Ж,2015,M,3,Золотой руль,86
275,3119105780,Федоров,Амос,Богданович,1951-03-18,М,1988,А,5,Балтик-Стар,91
276,2044565161,Бобров,Андрей,Валерианович,1951-08-29,М,1987,M,5,Новые горизонты,86
277,3416523843,Белоусова,Алевтина,Харитоновна,1978-07-14,Ж,2020,M,3,Эстакада,42
278,3870677831,Борисова,Наина,Кузьминична,1974-04-09,Ж,1997,А,3,Крутой поворот,74
279,4423697828,Ситникова,Александра,Викторовна,1996-11-24,Ж,2014,А,5,Формула-1,78
280,5073673905,Рябова,Регина,Ивановна,1977-09-11,Ж,1995,А,2,Эстафета,64
