,driver_id,passport_id,surname,name,middle_name,date_of_birth,sex,year_of_get_license,study_transmission,attemps_of_pass,autoschool,region_id
65,66,7732162427,Емельянова,Зоя,Олеговна,1971-01-18,Ж,2021,автомат,5,Орлан,35
66,67,0686042345,Ковалев,Анисим,Федотович,1957-01-07,М,2001,механика,4,Пора за руль,61
67,68,9337407372,Горбунов,Евлампий,Ефремович,1984-08-08,М,2011,механика,1,Авто-Лада,47
68,69,4441004898,Голубев,Евстафий,Ермилович,1985-03-28,М,2007,автомат,4,Близкое расстояние,48
69,70,4242096066,Белова,Евдокия,Борисовна,1973-09-28,Ж,2016,механика,4,Филин,35
70,71,6742289656,Александров,Касьян,Давидович,1961-07-30,М,2018,механика,2,Профи,19
71,72,7898527285,Данилова,Агафья,Вадимовна,1968-12-28,Ж,1992,механика,1,Пора за руль,89
72,73,7929530953,Белова,Любовь,Руслановна,2000-05-02,Ж,2019,механика,4,АвтоАс,37
73,74,5250322111,Гаврилова,Лора,Леонидовна,1999-01-27,Ж,2017,механика,1,Адреналин Драйв,53
74,75,3326272522,Тетерин,Елисей,Димитриевич,1969-08-13,М,2018,механика,3,Дорожная Азбука,26
75,76,5573883032,Лаврентьева,Зинаида,Ниловна,1957-06-30,Ж,1999,автомат,2,Первая миля,87
76,77,8396285558,Цветков,Макар,Анисимович,1982-03-28,М,2008,механика,2,Армада,11
77,78,1451839019,Зуев,Феофан,Владленович,1972-12-09,М,1997,механика,4,Минуэт,2
78,79,2971071388,Сазонова,Ия,Аркадьевна,1966-07-05,Ж,2015,механика,3,Леди Моторс,27
79,80,7991328307,Симонова,Анастасия,Захаровна,1975-03-04,Ж,2004,механика,3,Авто-Лига,69
80,81,5259843161,Носкова,Алина,Кузьминична,1981-07-22,Ж,2004,автомат,1,Универсал,69
81,82,9131896094,Авдеева,Екатерина,Рудольфовна,1969-05-02,Ж,2015,автомат,1,Шанс,4
82,83,7986326510,Игнатова,Тамара,Максимовна,1985-07-28,Ж,2015,автомат,2,Универсал,48
83,84,9729642317,Цветков,Нифонт,Ефремович,1978-10-20,М,2001,автомат,1,Юность,92
84,85,2577924210,Блинова,Анастасия,Филипповна,1978-04-11,Ж,2020,механика,2,Зебра,76
85,86,0766634316,Чернов,Тимур,Виленович,1955-11-10,М,1981,автомат,5,Победа,15
86,87,1252861217,Фадеева,Лора,Болеславовна,1992-02-08,Ж,2015,механика,1,Центральная автошкола,43
87,88,1092222588,Быкова,Нина,Романовна,1993-04-29,Ж,2011,автомат,3,Шумахер,9
88,89,0977187864,Симонов,Кондрат,Жоресович,1957-09-14,М,2010,механика,5,Кабриолет,23
89,90,6322344850,Романова,Анжелика,Ивановна,1995-03-12,Ж,2018,автомат,2,Луч,47
90,91,5244800461,Рыбакова,Фаина,Наумовна,1950-12-22,Ж,1979,автомат,5,Автоправо,57
91,92,0326466163,Крюков,Леонтий,Харлампович,1986-05-05,М,2011,механика,2,Дорожная Азбука,25
92,93,9163384652,Орехова,Клавдия,Рудольфовна,1991-11-22,Ж,2013,автомат,2,Перспектива,34
93,94,7346006725,Игнатьева,Нонна,Святославовна,1963-08-20,Ж,1995,механика,3,Пора за руль,13
94,95,6141726177,Белова,Любовь,Федоровна,1992-01-01,Ж,2017,механика,5,Авто-Импульс,59
95,96,7349714072,Кулакова,Любовь,Борисовна,1979-05-26,Ж,2010,автомат,3,Академия вождения,48
96,97,3878375333,Кулакова,Зоя,Евгеньевна,1959-08-21,Ж,2014,автомат,5,Фордевинд,99
97,98,2829971255,Полякова,Синклитикия,Федоровна,1991-10-04,Ж,2009,автомат,3,Авто-Навык,60
98,99,4584345778,Капустин,Никандр,Данилович,1952-06-25,М,1982,автомат,1,Малина,52
99,100,1473515022,Сазонов,Иосиф,Всеволодович,1950-12-29,М,1989,механика,3,Хайвэй,12
100,101,6971767669,Кудрявцев,Аполлон,Авдеевич,1982-10-22,М,2018,автомат,2,Экипаж,15
101,102,7500908836,Никонов,Панфил,Викентьевич,1960-07-15,М,1984,механика,2,Евродрайв,3
102,103,5395686001,Мишин,Добромысл,Эдгардович,1952-02-09,М,1998,механика,5,Априори,52
103,104,3685514234,Панфилов,Стоян,Данилович,1982-09-25,М,2014,механика,2,Балтик-Стар,76
104,105,9331945931,Зайцева,Лора,Эльдаровна,1970-03-24,Ж,2010,механика,4,Арго,4
105,106,1299321782,Зуев,Парамон,Феоктистович,1952-11-23,М,2019,механика,3,Авангард,70
106,107,2267471701,Семенов,Елизар,Вилорович,1978-05-29,М,2005,автомат,2,Главная дорога,33
107,108,8836478237,Устинова,Фёкла,Наумовна,1989-08-22,Ж,2013,автомат,3,Экипаж,76
108,109,6637767111,Дмитриева,Надежда,Аркадьевна,1979-07-01,Ж,2016,механика,3,Хайвэй,16
109,110,3579167887,Ермаков,Ким,Иосипович,1985-07-16,М,2003,автомат,2,Азбука вождения,72
110,111,0388308135,Рябова,Антонина,Вениаминовна,1954-12-19,Ж,1977,механика,4,Маршрут,62
111,112,0901893967,Анисимов,Конон,Захарьевич,2002-12-04,М,2021,автомат,1,Курсор,66
112,113,3202178723,Гаврилова,Антонина,Игоревна,1953-12-19,Ж,2020,автомат,4,Автоперекресток,58
113,114,7642572977,Лобанова,Кира,Харитоновна,1985-12-09,Ж,2012,автомат,4,Кабриолет,13
114,115,4940107726,Михайлова,Евпраксия,Святославовна,1952-10-28,Ж,2018,автомат,4,Дело,3
115,116,0926629224,Лыткина,Нонна,Эдуардовна,1971-04-01,Ж,2000,механика,4,Хайвэй,83
116,117,8193440908,Морозов,Милен,Фокич,1996-10-13,М,2018,автомат,1,Вектор,12
117,118,2335239943,Никифоров,Евстафий,Терентьевич,1986-11-08,М,2006,автомат,3,Мастер-класс,10
118,119,1226666715,Комаров,Ратмир,Тихонович,1957-10-09,М,2017,механика,2,Мустанг,11
119,120,8350575847,Шестакова,Маргарита,Никифоровна,1999-08-15,Ж,2020,механика,3,Три педали,10
120,121,1479722684,Кузьмин,Андрон,Вячеславович,1990-08-18,М,2012,автомат,1,Автолайн,33
121,122,4880801877,Зиновьев,Ипполит,Валентинович,1997-10-11,М,2021,механика,2,Драйвин,77
122,123,6031351155,Гусев,Лев,Ермолаевич,1978-07-04,М,2008,автомат,5,Водитель,77
123,124,7743648761,Бирюков,Анатолий,Бенедиктович,1961-09-24,М,2007,механика,2,Маневр,50
124,125,7863861143,Гордеев,Евгений,Борисович,1974-03-24,М,2016,автомат,4,Чайка,39
125,126,5488306108,Рябов,Макар,Харламович,1983-11-19,М,2004,автомат,4,Топаз,67
126,127,6166849066,Лазарев,Измаил,Аверьянович,1957-03-13,М,2001,механика,1,Продвинутый водитель,4
127,128,1967711894,Новикова,Тамара,Ниловна,1967-10-22,Ж,1993,механика,3,Альфа,79
128,129,8438820839,Боброва,Алевтина,Дмитриевна,1958-11-30,Ж,2013,механика,1,Тутти плюс,8
129,130,5274717165,Рыбаков,Эрнест,Жоресович,1987-09-26,М,2017,автомат,3,Звездный мост,30
130,131,4559989119,Архипова,Евфросиния,Тимофеевна,1978-12-30,Ж,2009,механика,5,Практика,30
131,132,4164195467,Виноградов,Сидор,Валентинович,1969-05-12,М,1993,механика,3,Ермак,49
132,133,1142753697,Казакова,Евпраксия,Владимировна,1957-10-16,Ж,2008,автомат,2,Рокада,71
133,134,1321280632,Мишина,Галина,Болеславовна,1971-04-19,Ж,2010,автомат,3,Восток-ралли,62
134,135,9477192077,Марков,Семен,Викторович,1999-12-11,М,2017,автомат,1,Филин,87
135,136,1917055560,Самойлов,Савва,Иосипович,1991-09-03,М,2010,механика,1,Светофор,10
136,137,0823491972,Степанова,Евгения,Архиповна,2000-01-02,Ж,2020,автомат,4,Лидер,46
137,138,6692913518,Гусева,Регина,Андреевна,1968-08-05,Ж,2003,механика,3,Авто-Импульс,44
138,139,2657996031,Фомина,Элеонора,Васильевна,1983-10-18,Ж,2002,автомат,2,"Эх, научу!",60
139,140,2505714613,Филиппов,Никон,Германович,1985-08-11,М,2004,автомат,3,Формула-1,76
140,141,6479383304,Кузнецов,Тимофей,Марсович,1994-10-06,М,2018,автомат,5,Пора за руль,1
141,142,4145476644,Зимин,Геннадий,Демидович,1992-06-02,М,2018,механика,2,Ермак,52
142,143,5021110192,Сорокина,Ирина,Матвеевна,1976-05-17,Ж,2005,механика,5,Звездный мост,54
143,144,5367165767,Лыткина,Маргарита,Константиновна,1964-04-26,Ж,1982,механика,5,Пилот,35
144,145,5950269870,Миронов,Зиновий,Филиппович,1980-06-07,М,2008,автомат,4,Драйвин,91
145,146,0071435560,Ершова,Регина,Вениаминовна,1981-01-11,Ж,1999,механика,2,Автофил,19
146,147,3270759930,Зиновьева,Ульяна,Харитоновна,1966-09-27,Ж,1992,механика,5,Арго,70
147,148,7803353959,Гурьев,Панкратий,Глебович,1972-08-26,М,2001,механика,2,Вершина,34
148,149,2636942068,Гаврилов,Мариан,Герасимович,1963-07-28,М,1987,автомат,3,Пора за руль,37
149,150,4513724499,Щукина,Агафья,Николаевна,1952-01-26,Ж,2010,механика,1,Дорожная Азбука,51
150,151,1414289771,Сафонова,Тамара,Эльдаровна,1954-11-02,Ж,2021,механика,2,Первоклассная,76
151,152,5525334340,Беляков,Леонид,Феодосьевич,1993-10-12,М,2021,механика,2,Автофакультет,86
152,153,3208968358,Красильников,Давыд,Глебович,2001-06-20,М,2020,автомат,5,Магистраль,75
153,154,7184968256,Королев,Максимильян,Гордеевич,1955-12-07,М,1992,механика,2,Вектор,11
154,155,9834031823,Гуляева,Маргарита,Рудольфовна,1994-03-08,Ж,2014,механика,2,Легион,43
155,156,7561289469,Фокин,Гостомысл,Ануфриевич,1959-06-10,М,2001,механика,2,Автомаг,25
156,157,9268071353,Хохлов,Игнатий,Аксёнович,1984-11-25,М,2021,механика,2,Автодрайвер,67
157,158,7665872785,Бурова,Ульяна,Дмитриевна,1982-11-22,Ж,2013,автомат,5,Гарант,25
158,159,9343453044,Панов,Григорий,Феофанович,1995-10-08,М,2015,автомат,3,Перекресток,11
159,160,3255999620,Королев,Владимир,Бориславович,1975-09-21,М,2015,механика,1,Автоперекресток,4
160,161,4074914065,Савельев,Еремей,Якубович,2003-04-03,М,2021,автомат,5,Клаксон,27
161,162,0095076620,Туров,Александр,Абрамович,1965-07-27,М,2014,механика,3,Азбука дорог,27
162,163,1634167347,Мясникова,Зинаида,Вадимовна,1961-09-02,Ж,1979,механика,4,Перекресток,48
163,164,0546356052,Фокин,Ян,Филатович,1959-06-01,М,2020,механика,1,Пятое колесо,18
164,165,7719244309,Елисеева,Ираида,Анатольевна,1984-03-14,Ж,2013,механика,3,Минуэт,69
165,166,4125919980,Брагин,Геннадий,Эдуардович,2002-10-28,М,2020,автомат,2,Ралли Шоп,5
166,167,3568490568,Владимирова,Елизавета,Аскольдовна,1991-12-23,Ж,2021,автомат,3,Эстафета,86
167,168,4848886419,Сазонов,Моисей,Давыдович,1981-03-23,М,2011,механика,5,Юность,48
168,169,6920405740,Петухов,Кир,Фадеевич,1951-12-06,М,1985,автомат,1,Метеор,66
169,170,5201091237,Игнатов,Христофор,Ефимьевич,1976-08-24,М,2020,механика,5,Конкорд,24
170,171,5852780061,Вишняков,Кирилл,Эдуардович,1965-09-14,М,1993,механика,3,Формула-1,42
171,172,1370593687,Григорьева,Варвара,Рубеновна,1990-01-26,Ж,2019,автомат,5,Лидер,42
172,173,9011062286,Силина,Елизавета,Вадимовна,1969-03-22,Ж,2014,автомат,1,Экипаж,40
173,174,0377141033,Меркушева,Оксана,Валериевна,1951-08-14,Ж,1991,автомат,1,Пилот,22
174,175,7955269978,Григорьева,Вера,Леоновна,1955-10-06,Ж,1993,автомат,3,Мастер-класс,75
175,176,0797727524,Воробьев,Нестор,Устинович,1983-01-26,М,2001,автомат,5,Виртуоз,7
176,177,5045893339,Гусева,Александра,Болеславовна,1960-03-05,Ж,1980,автомат,3,Автоград,99
177,178,2968723353,Костина,Эмилия,Леоновна,1957-08-19,Ж,1989,механика,1,Орлан,41
178,179,0862522946,Трофимов,Эмиль,Арсеньевич,1956-06-26,М,2007,автомат,5,Топаз,78
179,180,9857105519,Артемьева,Евпраксия,Яковлевна,1972-02-09,Ж,1998,механика,5,Экипаж,68
180,181,8513892871,Маслов,Ладислав,Егорович,1974-06-28,М,2001,автомат,5,Новичок,78
181,182,6136006395,Сидоров,Лавр,Всеволодович,2003-03-12,М,2021,автомат,1,Автомаг,51
182,183,2515832278,Терентьев,Варлаам,Игоревич,1971-03-29,М,2015,механика,1,Крутой поворот,69
183,184,5289753285,Семенова,Зинаида,Тарасовна,1962-01-14,Ж,2008,автомат,1,Хайвэй,34
184,185,6172598703,Кулакова,Прасковья,Филипповна,1985-08-29,Ж,2003,механика,2,Автолидер,33
185,186,8997694058,Беляева,Елизавета,Святославовна,1996-02-06,Ж,2016,автомат,2,Успех,49
186,187,9534252185,Анисимова,Алина,Захаровна,1991-09-29,Ж,2021,автомат,2,Прайм-Авто,62
187,188,0179164916,Горбунов,Соломон,Ерофеевич,1982-08-29,М,2002,автомат,3,Армада,40
188,189,4075526235,Титова,Алевтина,Олеговна,1979-05-29,Ж,2012,автомат,2,Курсант,29
189,190,0876251911,Никонова,Фёкла,Александровна,1998-07-13,Ж,2016,автомат,5,Автомаг,1
190,191,1284549548,Алексеев,Нифонт,Ярославович,1958-07-10,М,1999,механика,5,Трасса,1
191,192,0427231115,Доронина,Лариса,Наумовна,1959-12-10,Ж,1989,механика,1,Альтернатива,53
192,193,5915245964,Павлов,Евстафий,Арсенович,1971-02-16,М,1996,механика,2,АвтоГарвард,18
193,194,6750986774,Жданов,Виктор,Григорьевич,1975-03-12,М,2007,автомат,1,Хочу рулить,87
194,195,2471627849,Колобова,Любовь,Петровна,1983-01-15,Ж,2001,автомат,4,Пилот,76
195,196,1348935406,Лаврентьев,Фока,Архипович,1987-09-26,М,2012,автомат,4,Авто-Лада,33
196,197,1195902653,Веселова,Эмилия,Рудольфовна,1962-12-02,Ж,2003,механика,3,Автокласс,25
197,198,6401415239,Кузнецов,Сигизмунд,Бориславович,1979-06-17,М,2005,автомат,1,Стрела,67
198,199,6303304393,Власова,Евдокия,Викторовна,1963-03-17,Ж,2011,механика,3,Маршрут,71
199,200,6988911213,Овчинникова,Наталья,Георгиевна,1992-11-30,Ж,2019,автомат,1,Юность,47
200,201,4186968415,Рыбакова,Ирина,Альбертовна,1977-06-23,Ж,2006,механика,5,Луч,8
201,202,0650739468,Соловьев,Бажен,Ярославович,1958-07-23,М,1988,автомат,3,Новые горизонты,61
202,203,6725358556,Журавлева,Анжелика,Рудольфовна,1964-12-23,Ж,1985,механика,4,Дакар,41
203,204,7491477064,Белякова,Кира,Андреевна,1969-11-01,Ж,1988,автомат,5,Автогалактика,15
204,205,1447181905,Шарапова,Евгения,Альбертовна,1992-12-24,Ж,2011,автомат,5,Пятое колесо,66
205,206,6265137618,Владимирова,Жанна,Анатольевна,1975-07-29,Ж,2011,автомат,1,Вираж,49
206,207,9893473420,Шашкова,Лидия,Станиславовна,1962-07-22,Ж,1985,механика,3,Антей,49
207,208,6376604537,Турова,Лидия,Тарасовна,1976-04-22,Ж,2021,механика,5,Адреналин Драйв,9
208,209,6609151445,Иванов,Всеслав,Гаврилович,1964-07-04,М,2005,автомат,5,Трасса,74
209,210,1255424794,Григорьева,Марфа,Львовна,1998-10-05,Ж,2021,механика,4,Профи,13
210,211,8050703825,Зимин,Ладимир,Игоревич,1951-06-27,М,1973,автомат,5,Три педали,50
211,212,3982943176,Баранова,Варвара,Аркадьевна,1965-05-03,Ж,2013,механика,5,Пилот,30
212,213,5157533857,Субботина,Пелагея,Анатольевна,1985-12-17,Ж,2007,механика,3,Авто-Навык,67
213,214,8064216069,Харитонов,Ефим,Марсович,1987-09-20,М,2013,механика,4,Филин,20
214,215,7290110318,Субботина,Маргарита,Николаевна,1991-01-29,Ж,2009,автомат,5,Три педали,17
215,216,2406220851,Матвеев,Ипполит,Даниилович,1980-05-19,М,2019,автомат,1,Автокласс,49
216,217,3735554369,Беляев,Светозар,Марсович,1964-12-10,М,2004,автомат,3,Вираж,68
217,218,4111618010,Никонов,Лука,Ефимьевич,1966-08-11,М,2014,механика,2,Меркурий,3
218,219,3804492305,Антонов,Всеволод,Димитриевич,1981-10-17,М,2017,автомат,5,Перспектива,33
219,220,7240450356,Зуева,Зинаида,Феликсовна,1959-07-04,Ж,2021,автомат,4,Топаз,40
220,221,5638271080,Шестакова,Фаина,Георгиевна,1986-11-17,Ж,2012,механика,1,Лучший водитель,60
221,222,1044255233,Князева,Фаина,Аркадьевна,1995-03-24,Ж,2018,механика,4,Арго,78
222,223,8400599734,Антонова,Анжела,Дмитриевна,1956-10-04,Ж,1984,автомат,4,Автоштурман,47
223,224,8005289083,Кошелева,Нонна,Антоновна,1984-12-28,Ж,2011,механика,1,Виртуоз,18
224,225,8426952347,Турова,Людмила,Оскаровна,1969-09-08,Ж,2018,автомат,2,Город,25
225,226,0598696202,Тарасова,Тамара,Павловна,1995-10-18,Ж,2017,автомат,3,Новичок,33
226,227,2903772277,Волкова,Вероника,Валериевна,1963-05-02,Ж,1993,автомат,5,Малина,27
227,228,9726003961,Филиппова,Нонна,Олеговна,1962-11-23,Ж,2004,механика,2,Экипаж,10
228,229,8438285492,Лыткин,Никон,Артемьевич,1992-05-08,М,2019,механика,1,Восток-ралли,53
229,230,4047828910,Максимова,Полина,Юрьевна,1991-11-26,Ж,2018,механика,5,АвтоАкадемия,51
230,231,1605678574,Белов,Наум,Гавриилович,1986-11-03,М,2019,автомат,1,Академия вождения,47
231,232,4115712394,Беляев,Светозар,Валерьевич,1963-02-02,М,1986,автомат,3,Жигули,67
232,233,7394821017,Никонов,Олег,Давидович,1963-12-01,М,1997,автомат,5,Водитель,23
233,234,2542120894,Меркушев,Наркис,Демьянович,1978-06-07,М,2000,автомат,2,Дело,26
234,235,4151731110,Зиновьев,Поликарп,Богданович,2001-12-11,М,2019,автомат,4,Авто-Импульс,79
235,236,3043644991,Шарова,Василиса,Станиславовна,1994-02-03,Ж,2018,механика,2,Балтик-Стар,16
236,237,6742843438,Мясников,Агафон,Трофимович,1958-01-30,М,1990,автомат,2,Престиж,4
237,238,7713518519,Дьячков,Азарий,Филиппович,1966-03-15,М,1986,механика,3,Антей,57
238,239,0517272657,Панфилов,Терентий,Власович,1986-05-30,М,2011,механика,3,Автоперекресток,6
239,240,5163939588,Чернов,Савватий,Тимурович,1993-01-04,М,2011,механика,1,Молния,3
240,241,2093088596,Иванов,Гурий,Виленович,1976-03-24,М,2019,механика,5,Вулкан,60
241,242,4750321907,Сафонова,Людмила,Ждановна,1990-02-25,Ж,2015,механика,5,Зеленая волна,74
242,243,8145295394,Субботин,Ефрем,Трофимович,1978-11-17,М,2019,автомат,1,Автолидер,57
243,244,8080566948,Артемьева,Лариса,Викторовна,1991-10-01,Ж,2020,автомат,2,Курсант,27
244,245,6191729789,Фомин,Каллистрат,Харитонович,1979-12-08,М,2014,автомат,1,Сигнал,25
245,246,2822397292,Голубева,Евпраксия,Харитоновна,1955-12-22,Ж,1976,механика,4,Автолидер,31
246,247,5819987486,Маркова,Дарья,Рудольфовна,1996-07-26,Ж,2019,механика,2,Метеор,67
247,248,0427436116,Трофимов,Арсений,Артурович,1981-04-13,М,2012,механика,4,Авто-Премиум,48
248,249,4808185351,Лобанов,Изяслав,Феоктистович,1997-08-06,М,2015,механика,2,Виртуоз,20
249,250,1755131603,Исаева,Алла,Тимофеевна,1960-09-30,Ж,1989,механика,3,Форсаж,44
250,251,3508979622,Исаева,Алевтина,Руслановна,1978-10-05,Ж,2021,автомат,4,Коррэктъ,12
251,252,2969634335,Панов,Боян,Феоктистович,1967-02-22,М,1988,автомат,4,Авто-Импульс,8
252,253,2719581769,Владимирова,Лукия,Константиновна,1988-12-16,Ж,2018,автомат,1,Вершина,36
253,254,3895274089,Комарова,Надежда,Натановна,1960-11-02,Ж,2016,автомат,1,Дорожная Азбука,26
254,255,9954878901,Полякова,Наина,Захаровна,1951-12-25,Ж,2006,автомат,1,Автознание,43
255,256,4325969757,Авдеева,Октябрина,Игоревна,1990-08-15,Ж,2019,автомат,5,Топ Драйв,43
256,257,8286417074,Степанов,Самсон,Власович,1999-06-10,М,2017,механика,3,АвтоСити,28
257,258,7718941484,Белозерова,Октябрина,Георгиевна,1951-05-29,Ж,1977,автомат,5,Филин,74
258,259,9643612005,Третьяков,Фадей,Ерофеевич,2001-03-13,М,2021,механика,3,Ментор,41
259,260,0088879096,Константинова,Александра,Викторовна,1993-09-11,Ж,2014,автомат,5,Светофор,26
260,261,3621350410,Меркушева,Александра,Макаровна,1993-10-27,Ж,2021,автомат,5,Метеор,10
261,262,4601424963,Гордеев,Мефодий,Жоресович,1996-06-10,М,2017,механика,3,Кабриолет,32
